movie,contents,score
시네마 천국,이건 별 몇개로 감히 내가 평점을 매길 수가 없는 영화,10
시네마 천국,나의 생애 최고의 영화!,10
시네마 천국,언제봐도 가슴이 뭉클해지는 최고의 영화 ㅠㅠ 배경음악도 단연 최고,10
시네마 천국,아주 어릴 적 개봉한 영화이지만 어렸을적 봤던 그 감동 그대로의 여운을 아직까지 느끼개 해주는 몇 안되는 명작 중 하나이다. 25년 만에 재개봉을 하였지만 여전히 영화가 주는 그 감동은 퇴색되지 않고 나의 가슴을 다시 한번 적셔온다.,10
시네마 천국,마지막 키스신 장면에서 눈물이 왈칵,9
시네마 천국,저 이거 마지막에 울었어요,10
시네마 천국,헐리우드에서 앤니오 모리꼬네에게 아카데미 상을 안 주는지 이해하기 어렵다.,10
시네마 천국,평점을 매길 수 없을 정도로 너무 아름답고 예쁜 영화였어요. 토토와 알프레도의 우정.. 유명한 배경음악.. 이틀전에 보고왔는데 소장하고 싶네요 ㅠ 시네마천국보고 명화들 찾아서 보려구요.. 너무 좋아요 ㅠ,10
시네마 천국,"디지털 화에 병적으로 물든 시대에서 <시네마천국>은 화학 조미료 치치 않은 순수한 감동을 물씬 느낄 수 있다. 가슴이 눈물과 함께 정화되는 영화. 극장의 은막을 빛내는 영화를, 극장에서 다시 볼 수 있다는 것 만으로도 큰 영광이자 감동이다.",10
시네마 천국,키스신을 보는 토토를 보며 가슴이 뜨거워지고 눈물이 흘렀다..,10
시네마 천국,이영화를 보면 왜 눈물이 나오는 걸까?20여년이 흐른 세월 탓일까,10
시네마 천국,무슨 말이 필요할까? 이 위대한 영화에는 별점 10개도 모자라다.,10
시네마 천국,"감동이네요.  그 당시의 시대상과 깨알가득한 사람들의 인정, 그 귀여운 아이까지 왜 명작인지, 지금까지 회자되는지 백분 공감하고왓습니다!!",10
시네마 천국,The Masterpiece!! 다른말로 설명할수 있을까?,10
시네마 천국,말이 필요없는 내 인생 최고의 영화,10
시네마 천국,언제나 봐도 감동깊은 영화지요...,10
시네마 천국,큰 스크린으로 좋은 사운드로 명작을 다시 볼 수 있어서 너무 행복했습니다.,10
시네마 천국,이건 머 시대가 지나도 영원한 명작일듯.,10
시네마 천국,영화의 교과서..이 영화의 마지막 장면은 영화사에 길이 남을 장면이라고 생각합니다.,9
시네마 천국,영화를 사랑하는 사람들을 위한 영화,9
시네마 천국,재개봉해서 보고왓습니다... 장난아니네요... 10점 이상 드리고 싶습니다... 운구행렬에... 토토의 회상신.... 눈물이 흐를뻔했습니다...,10
시네마 천국,한번 쯤은 꼭 봐야 할 영화!,10
시네마 천국,요즘은 느낄 수 없는 가슴 따듯한 동화와 같은 영화,10
시네마 천국,"무척이나 낭만적인 클래식이면서도 ""영화""에 대한 꿈 그 자체인 걸작",10
시네마 천국,오래됬는데 전혀 오래되지 않아요!!!음악은 참 좋지만 어린이들은 지루할수도 있어요;;;;,10
시네마 천국,"불멸의 키스신들, 내 인생 최고의 영화!",10
시네마 천국,처음으로 별점 남깁니다아련해지는 유년시절 추억의 달콤함,10
시네마 천국,유럽영화 한정으로 정말 좋아하는 영화 1위로 선정했습니다.,10
시네마 천국,"엔딩 크레딧까지 눈을 뗄 수 없는,봐도봐도 질리지 않고,식지않는 감동의 영화~",10
시네마 천국,극장가서 보려고 했지만  이미 세시간짜리 디렉터스 컷이 나온 마당에 잘린 영화 극장가서 보기가 싫음. 물론 2시간 짜리 버전이 더 좋다고 하지만..,10
시네마 천국,89년작 근사한 빈티지와인,10
시네마 천국,젊은 사람이라면 아! 이 음악이 이 영화의 노래이구나! 할끼야,10
시네마 천국,이보다 사람냄세나는 영화가 있을까 싶을정도로 뭉클한 영화~~~흠잡을게없다,10
시네마 천국,"가슴속 어딘가에 고이 간직한 첫사랑의 기억으로 목이 메이게 했던 그 영화... 25년이 지났지만, 다시 목이 메이네.",10
시네마 천국,"내 인생 최고의 영화. 몇십번을 보고 또 봐도, 영화의 시작부터 가슴터질것같은 영화. 장면장면이 그림처럼 머리속에 박히고 다음장면이 항상 그리워지는 영화. 내가 본 영화중 가장 사랑스런 주인공 토토. 다시볼수 있는 행운이 오다니.",10
시네마 천국,아우... 보고싶어 미치겠는데 창원에선 상영하는데가 없네... cgv양반들 여기 좀 어떻게 안되겠나?,10
시네마 천국,아름다운 영화입니다.,10
시네마 천국,따듯하고 사랑스러운 완벽한 영화,10
시네마 천국,잊지못할 내 인생의 영화,10
시네마 천국,재개봉해서 오늘 보고왔는데 너무 감동이었다...ㅠㅠbb,10
시네마 천국,아.. 크레딧이 올라가며 밀려오는 먹먹함 fine.,10
시네마 천국,내생애 최고의 영화... 가장 감명깊었던... 이 영화 갖고 혹평하는 사람들... 영화를 제대로 이해 못한 사람들임,10
시네마 천국,시작 음악부터 눈물이 낫다 어린 토토의 그 눈을 잊을수 없고 마지말 극장 폭파장면에서는 내 청춘도 같이 지는거 같은 마음. 그냥 모든것이 아련하기만 하다. 빠른것을 좋아하는 사람에게는 자칫 지루할수도 잇겟지만.,9
시네마 천국,"옛 추억의 그리움을 잊고 살고 있을때,  그 추억은 지금 나를 그리워 하고 있다.",10
